HoursStudied,Attendance,PreviousGrade,RiskFlag,Pass,Target
7,55,74,0,0,0
4,77,72,0,0,0
13,77,91,1,1,1
11,93,60,1,1,1
8,93,71,1,1,1
13,69,62,1,1,1
5,79,72,0,0,0
7,60,42,0,0,0
10,77,57,1,1,1
3,74,64,0,0,0
7,88,81,0,0,0
11,82,70,1,1,1
11,50,93,1,1,1
8,76,42,0,0,0
5,62,79,0,0,0
4,90,85,0,0,0
8,52,63,0,0,0
8,88,89,1,1,1
3,55,71,0,0,0
6,57,86,0,0,0
5,76,61,0,0,0
2,58,62,0,0,0
8,86,41,0,0,0
12,82,66,1,1,1
14,100,81,1,1,1
6,91,41,0,0,0
2,93,65,0,0,0
12,73,56,1,1,1
5,64,79,0,0,0
1,81,72,0,0,0
12,81,48,1,1,1
10,73,82,1,1,1
6,90,93,0,0,0
13,98,87,1,1,1
12,98,78,1,1,1
9,61,68,0,0,0
1,88,81,0,0,0
11,51,94,1,1,1
11,52,65,0,0,0
10,98,74,1,1,1
12,86,89,1,1,1
12,98,64,1,1,1
14,66,63,1,1,1
14,98,52,1,1,1
14,51,46,1,1,1
3,51,75,0,0,0
12,77,84,1,1,1
7,72,59,0,0,0
4,86,40,0,0,0
9,81,47,0,0,0
3,82,85,0,0,0
5,50,55,0,0,0
3,68,53,0,0,0
7,51,51,0,0,0
5,93,90,0,0,0
9,75,62,0,0,0
7,81,54,0,0,0
2,55,67,0,0,0
4,81,73,0,0,0
9,53,41,0,0,0
12,60,71,1,1,1
14,66,62,1,1,1
2,87,61,0,0,0
10,73,90,1,1,1
9,54,64,0,0,0
10,83,61,1,1,1
5,55,61,0,0,0
2,71,88,0,0,0
4,60,91,0,0,0
12,97,81,1,1,1
12,65,45,1,1,1
7,82,54,0,0,0
12,58,93,1,1,1
13,55,82,1,1,1
8,65,76,0,0,0
3,78,72,0,0,0
14,52,47,1,1,1
1,69,92,0,0,0
4,85,83,0,0,0
2,68,83,0,0,0
8,75,44,0,0,0
4,52,78,0,0,0
2,68,43,0,0,0
14,69,45,1,1,1
6,81,84,0,0,0
6,56,71,0,0,0
10,90,91,1,1,1
4,82,69,0,0,0
6,89,86,0,0,0
13,88,74,1,1,1
2,67,94,0,0,0
10,89,79,1,1,1
12,50,91,1,1,1
2,60,55,0,0,0
10,77,52,0,0,0
14,74,89,1,1,1
4,99,81,0,0,0
14,72,69,1,1,1
8,80,58,0,0,0
14,79,56,1,1,1
7,91,95,1,1,1
12,84,58,1,1,1
9,56,67,0,0,0
14,65,94,1,1,1
8,75,65,0,0,0
5,97,76,0,0,0
13,98,65,1,1,1
2,51,92,0,0,0
5,50,62,0,0,0
8,97,48,0,0,0
10,61,51,0,0,0
9,54,92,0,0,0
12,86,40,1,1,1
12,81,40,1,1,1
12,58,86,1,1,1
13,90,73,1,1,1
9,84,71,1,1,1
13,68,93,1,1,1
13,97,87,1,1,1
1,65,64,0,0,0
9,52,79,0,0,0
7,69,84,0,0,0
9,73,92,1,1,1
8,82,40,0,0,0
1,73,55,0,0,0
12,60,78,1,1,1
8,98,44,0,0,0
8,57,61,0,0,0
11,85,68,1,1,1
3,87,94,0,0,0
1,89,42,0,0,0
8,69,51,0,0,0
3,84,65,0,0,0
3,97,55,0,0,0
1,74,90,0,0,0
11,84,76,1,1,1
5,74,61,0,0,0
10,78,68,1,1,1
7,67,53,0,0,0
10,95,67,1,1,1
9,67,44,0,0,0
12,51,86,1,1,1
7,84,88,0,0,0
9,65,69,0,0,0
8,90,85,1,1,1
12,85,91,1,1,1
2,82,44,0,0,0
1,53,51,0,0,0
7,82,55,0,0,0
7,63,65,0,0,0
14,70,65,1,1,1
8,97,87,1,1,1
5,69,60,0,0,0
3,57,78,0,0,0
12,56,75,1,1,1
8,52,72,0,0,0
6,66,69,0,0,0
11,82,76,1,1,1
3,97,62,0,0,0
1,61,49,0,0,0
3,100,93,0,0,0
5,71,44,0,0,0
14,71,75,1,1,1
3,95,73,0,0,0
1,79,91,0,0,0
5,87,70,0,0,0
10,87,49,1,1,1
7,94,58,0,0,0
14,100,71,1,1,1
7,57,40,0,0,0
11,76,95,1,1,1
9,76,44,0,0,0
10,83,84,1,1,1
10,70,43,0,0,0
12,79,55,1,1,1
13,82,63,1,1,1
3,77,55,0,0,0
7,96,94,1,1,1
1,82,41,0,0,0
4,54,88,0,0,0
13,97,67,1,1,1
4,68,71,0,0,0
14,53,66,1,1,1
5,84,59,0,0,0
7,98,63,0,0,0
7,66,51,0,0,0
13,93,89,1,1,1
11,77,74,1,1,1
13,79,72,1,1,1
4,78,72,0,0,0
13,95,90,1,1,1
7,55,82,0,0,0
11,84,76,1,1,1
3,90,51,0,0,0
6,86,42,0,0,0
12,73,40,1,1,1
2,78,72,0,0,0
10,98,79,1,1,1
13,95,49,1,1,1
14,80,82,1,1,1
