Income,CreditScore,DebtRatio,LoanAmount,ApprovalFlag,LoanApproved
108810,507,0.07,23024,0,0
57098,564,0.15,11717,0,0
113696,829,0.72,10697,0,0
102397,666,0.07,11140,1,1
53657,569,0.43,6739,0,0
98563,551,0.59,40713,0,0
79987,562,0.39,23231,0,0
131093,453,0.62,15463,0,0
116506,666,0.31,15189,1,1
53221,840,0.3,11078,1,1
74797,499,0.32,27541,0,0
104131,585,0.66,35108,0,0
95284,513,0.78,29807,0,0
35328,732,0.27,46198,0,0
106070,635,0.48,9558,0,0
31006,788,0.22,23965,0,0
35458,569,0.7,29911,0,0
61434,682,0.53,28909,0,0
46319,639,0.32,48920,0,0
59993,809,0.75,47469,0,0
34358,761,0.53,40005,0,0
120568,575,0.17,29867,0,0
60382,777,0.57,19392,0,0
114733,616,0.68,8665,0,0
55021,466,0.65,31290,0,0
60093,483,0.21,42170,0,0
139867,817,0.29,47954,1,1
90435,652,0.71,47129,0,0
85142,523,0.25,21162,0,0
122647,737,0.45,43311,0,0
81155,748,0.35,19373,1,1
43131,710,0.42,8087,0,0
137866,506,0.16,15484,0,0
128819,798,0.37,9163,1,1
75432,645,0.5,35674,0,0
94352,578,0.78,5752,0,0
114166,819,0.14,40190,1,1
123419,586,0.63,27293,0,0
39621,600,0.38,34735,0,0
25425,819,0.71,22261,0,0
90612,840,0.18,11973,1,1
139100,770,0.27,46874,1,1
91540,761,0.2,29504,1,1
124943,532,0.45,39757,0,0
145388,450,0.5,37021,0,0
27552,507,0.75,25153,0,0
56385,479,0.23,42182,0,0
149118,490,0.11,36849,0,0
131957,485,0.78,39911,0,0
125379,514,0.15,36148,0,0
149105,731,0.17,39581,1,1
139351,760,0.37,18880,1,1
146754,726,0.62,18182,0,0
118447,609,0.35,49019,0,0
110180,641,0.38,38919,0,0
84177,511,0.24,9196,0,0
69313,460,0.49,20080,0,0
102128,562,0.06,46359,0,0
32716,567,0.1,7058,0,0
137674,619,0.1,20597,0,0
61500,792,0.41,40339,1,1
42342,820,0.75,42423,0,0
100525,692,0.23,35996,1,1
130840,658,0.19,11352,1,1
111374,670,0.32,31941,1,1
86213,823,0.09,47824,1,1
109696,500,0.1,27236,0,0
129935,505,0.24,17465,0,0
95292,679,0.16,17025,1,1
61509,686,0.24,9940,1,1
83082,731,0.12,47738,1,1
95855,457,0.78,20491,0,0
46798,658,0.41,19008,1,1
138331,655,0.73,15789,0,0
74672,451,0.79,22380,0,0
146440,682,0.26,41422,1,1
111752,817,0.42,17445,1,1
63890,561,0.78,42957,0,0
121434,727,0.1,25552,1,1
32492,475,0.49,37954,0,0
145505,721,0.17,38281,1,1
35500,545,0.1,9453,0,0
113501,570,0.35,42334,0,0
57271,746,0.5,45591,0,0
35745,664,0.54,42042,0,0
93522,611,0.75,18386,0,0
112782,816,0.29,22407,1,1
76876,517,0.55,24660,0,0
84929,611,0.75,9754,0,0
26220,684,0.52,41896,0,0
38104,487,0.45,38153,0,0
59760,517,0.75,9508,0,0
140247,575,0.33,15338,0,0
82433,728,0.58,45086,0,0
130788,784,0.45,48769,0,0
132099,733,0.27,48475,1,1
38577,518,0.25,12014,0,0
122310,733,0.17,23465,1,1
104276,557,0.59,18342,0,0
115111,774,0.69,38122,0,0
89032,578,0.73,8329,0,0
37097,774,0.37,23132,0,0
30778,451,0.3,13573,0,0
108507,584,0.17,33956,0,0
97309,811,0.37,5633,1,1
39663,488,0.76,14768,0,0
96511,468,0.68,43175,0,0
97420,525,0.37,7741,0,0
65404,636,0.72,7614,0,0
142823,633,0.21,21353,0,0
112416,502,0.32,41692,0,0
140885,658,0.78,15128,0,0
146341,571,0.7,16603,0,0
140528,661,0.07,26770,1,1
127548,660,0.65,21263,0,0
59970,531,0.64,12084,0,0
75140,469,0.69,19577,0,0
51158,685,0.31,19915,1,1
54219,462,0.55,31113,0,0
68025,592,0.7,23292,0,0
71025,778,0.43,49532,1,1
135580,724,0.3,6808,1,1
40118,583,0.18,22397,0,0
30014,505,0.5,27654,0,0
120491,610,0.38,38516,0,0
40157,647,0.72,17457,0,0
58386,472,0.58,5110,0,0
93146,725,0.57,48950,0,0
50825,636,0.37,48531,0,0
145687,619,0.52,48475,0,0
136151,513,0.59,24681,0,0
91469,608,0.55,26376,0,0
77743,806,0.27,13341,1,1
50144,665,0.55,29847,0,0
113777,833,0.73,45338,0,0
99593,604,0.35,5026,0,0
64829,596,0.21,43009,0,0
104516,785,0.29,33952,1,1
82954,795,0.21,36010,1,1
129036,826,0.18,10557,1,1
62196,713,0.55,45583,0,0
68933,497,0.66,20392,0,0
113184,608,0.22,18050,0,0
44313,462,0.08,36138,0,0
105120,843,0.1,32160,1,1
141147,772,0.48,30164,0,0
89799,654,0.23,47995,1,1
115128,452,0.72,11985,0,0
127029,667,0.21,38944,1,1
85889,475,0.47,12953,0,0
84829,518,0.65,48750,0,0
94616,736,0.5,34004,0,0
105301,818,0.72,32966,0,0
133864,730,0.38,15430,1,1
122472,693,0.39,21203,1,1
135082,776,0.26,39163,1,1
88517,770,0.23,33827,1,1
35155,815,0.26,22807,0,0
69020,613,0.72,10280,0,0
43136,527,0.22,15014,0,0
117591,559,0.1,31712,0,0
68369,727,0.4,9080,1,1
52110,665,0.34,43278,1,1
149002,806,0.06,42728,1,1
74857,694,0.05,28052,1,1
64139,835,0.34,32460,1,1
95545,832,0.6,44534,0,0
142677,562,0.42,22887,0,0
82125,698,0.07,27028,1,1
112670,797,0.65,15816,0,0
135166,689,0.74,45780,0,0
95008,463,0.73,43790,0,0
98975,789,0.07,47123,1,1
81179,519,0.7,16909,0,0
31590,583,0.33,18871,0,0
84598,617,0.3,29846,0,0
61471,835,0.76,32627,0,0
58065,491,0.4,40351,0,0
31826,629,0.22,9496,0,0
127397,783,0.08,7033,1,1
149467,576,0.2,6335,0,0
106439,528,0.23,36035,0,0
112747,508,0.47,19284,0,0
85952,808,0.24,29175,1,1
46992,760,0.51,12506,0,0
126946,533,0.77,12084,0,0
100849,463,0.75,42735,0,0
113781,642,0.35,17997,0,0
34961,753,0.57,46106,0,0
56830,502,0.57,24764,0,0
136449,800,0.5,12933,0,0
129363,739,0.64,27754,0,0
94827,669,0.55,9519,0,0
91317,781,0.31,32528,1,1
132784,700,0.13,28736,1,1
108307,685,0.58,33540,0,0
48086,825,0.44,47628,1,1
60400,765,0.66,40269,0,0
126533,697,0.4,43828,1,1
60179,615,0.69,10679,0,0
61559,680,0.23,35455,1,1
99691,762,0.55,27046,0,0
28761,703,0.69,16917,0,0
88904,558,0.32,21931,0,0
69608,593,0.71,23105,0,0
97848,455,0.44,17521,0,0
36221,573,0.59,37019,0,0
97768,838,0.23,36201,1,1
109659,814,0.42,6130,1,1
37196,600,0.22,20945,0,0
65135,789,0.49,36015,0,0
97544,721,0.31,41070,1,1
68357,630,0.58,22754,0,0
65189,578,0.22,17621,0,0
66359,511,0.61,17133,0,0
50105,560,0.6,23120,0,0
119972,751,0.78,39382,0,0
103222,594,0.79,17721,0,0
63829,566,0.32,24809,0,0
26854,812,0.45,22977,0,0
30965,477,0.47,13275,0,0
108606,835,0.42,5803,1,1
100243,595,0.4,33866,0,0
69657,544,0.77,21546,0,0
148347,694,0.14,9282,1,1
77521,701,0.11,46251,1,1
114974,477,0.16,41886,0,0
149403,605,0.11,21265,0,0
40525,735,0.62,44735,0,0
103135,766,0.22,39247,1,1
74856,680,0.73,24487,0,0
137743,751,0.79,25013,0,0
99531,767,0.1,11503,1,1
149202,840,0.21,18829,1,1
59687,788,0.11,20719,1,1
47782,732,0.11,5175,1,1
78545,680,0.57,35796,0,0
63175,466,0.22,23528,0,0
117141,682,0.1,20297,1,1
146098,585,0.64,45963,0,0
102304,788,0.65,17964,0,0
80723,508,0.46,47443,0,0
44528,586,0.67,9679,0,0
32816,534,0.64,43996,0,0
123167,741,0.74,33780,0,0
41299,689,0.57,31378,0,0
148558,589,0.43,37361,0,0
82377,491,0.5,33313,0,0
121276,615,0.5,6695,0,0
36970,567,0.77,42696,0,0
101955,460,0.8,49058,0,0
132665,587,0.48,16481,0,0
86669,715,0.54,23229,0,0
48788,749,0.38,37225,1,1
36959,690,0.31,26843,0,0
67081,793,0.13,15539,1,1
68228,660,0.57,23888,0,0
111846,655,0.66,41051,0,0
29809,682,0.12,21541,0,0
67372,509,0.78,31488,0,0
138365,713,0.67,5075,0,0
111200,727,0.4,8552,1,1
49586,715,0.32,37669,1,1
106973,676,0.62,18340,0,0
60003,731,0.15,23876,1,1
82424,807,0.41,6891,1,1
107578,761,0.65,15379,0,0
65730,732,0.06,31738,1,1
37217,565,0.79,12435,0,0
85482,510,0.54,15090,0,0
90323,816,0.27,22919,1,1
79459,697,0.79,20973,0,0
84871,732,0.16,17491,1,1
145831,756,0.43,13946,1,1
138249,485,0.26,32193,0,0
69548,709,0.25,5168,1,1
62072,821,0.27,43465,1,1
101011,787,0.42,14738,1,1
83529,725,0.41,26786,1,1
97340,840,0.46,34841,0,0
147270,614,0.7,20650,0,0
99946,646,0.23,31920,0,0
30720,612,0.61,29984,0,0
75604,789,0.64,47730,0,0
44936,703,0.77,13273,0,0
90836,752,0.3,11577,1,1
139581,675,0.12,34945,1,1
27011,819,0.16,47911,0,0
45232,488,0.4,22368,0,0
69375,769,0.57,47587,0,0
35527,618,0.69,39971,0,0
74808,612,0.52,36978,0,0
139344,727,0.08,9484,1,1
55771,773,0.56,23833,0,0
54817,832,0.12,11451,1,1
124663,774,0.58,11586,0,0
83153,535,0.57,6897,0,0
31028,616,0.65,24226,0,0
71984,641,0.37,21003,0,0
94621,660,0.47,16800,0,0
